Name,Main story duration,Duration hrs
LEGO Harry Potter: Years 5-7,11 Hours,11.0
Hyrule Warriors,13 Hours,13.0
Hyrule Warriors: Age of Calamity,24 Hours,24.0
Hyrule Warriors: Definitive Edition,16.5 Hours,16.5
Hyrule Warriors: Legends,16 Hours,16.0
Hyrule Warriors: Age of Calamity - Pulse of the Ancients,--,
Hyrule Warriors: Age of Calamity - Guardian of Remembrance,--,
Assassin's Creed: Bloodlines,6 Hours,6.0
Combat,15 Mins,0.25
Halo: Combat Evolved - Anniversary,10 Hours,10.0
GRIP: Combat Racing,13.5 Hours,13.5
Ace Combat 7: Skies Unknown,11 Hours,11.0
Halo: Combat Evolved,10 Hours,10.0
Digital Combat Simulator World,--,
Ace Combat: Assault Horizon,8.5 Hours,8.5
Jak X: Combat Racing,10 Hours,10.0
Super Monday Night Combat,4 Hours,4.0
Learn Japanese To Survive! Kanji Combat,12 Hours,12.0
Monday Night Combat,3 Hours,3.0
Ace Combat 04: Shattered Skies,4 Hours,4.0
Ace Combat 5: The Unsung War,7 Hours,7.0
Ace Combat 6: Fires of Liberation,9 Hours,9.0
Battlefield 2: Modern Combat,7 Hours,7.0
Ace Combat Zero: The Belkan War,4.5 Hours,4.5
Ace Combat 3: Electrosphere,4 Hours,4.0
Air Combat,2.5 Hours,2.5
Combat Wings: Battle of Britain,3 Hours,3.0
Ace Combat 2,3 Hours,3.0
LEGO City Undercover,15.5 Hours,15.5
Ninja Gaiden,3 Hours,3.0
Ninja Gaiden (Master System),1.5 Hours,1.5
Ninja Gaiden (Arcade),43 Mins,0.7166666666666667
Ninja Gaiden Sigma,14 Hours,14.0
Ninja Gaiden 3: Razor's Edge,7 Hours,7.0
